date_start,time_start,date_end,time_end,duration_h,plant,reason,origin_code,origin_label,mwh_curtailed,pld_avg_rs_mwh
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 9,REL,LOC,LOC — Local (near plant),2.299,176.185
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 7,REL,LOC,LOC — Local (near plant),2.316,176.185
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 5,REL,LOC,LOC — Local (near plant),18.953,176.185
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 6,REL,LOC,LOC — Local (near plant),21.167,176.185
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 8,REL,LOC,LOC — Local (near plant),21.299,176.185
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 4,REL,LOC,LOC — Local (near plant),15.194,176.185
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 3,REL,LOC,LOC — Local (near plant),2.669,176.185
2026-05-28,07:30,2026-05-28,08:00,1.000,Mauriti 2,REL,LOC,LOC — Local (near plant),3.338,176.185
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 1,CNF,SIS,SIS — Systemic (regional grid),26.020,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 7,CNF,SIS,SIS — Systemic (regional grid),6.217,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 6,CNF,SIS,SIS — Systemic (regional grid),19.806,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 5,CNF,SIS,SIS — Systemic (regional grid),21.988,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 3,CNF,SIS,SIS — Systemic (regional grid),20.821,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 2,CNF,SIS,SIS — Systemic (regional grid),10.762,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 4,CNF,SIS,SIS — Systemic (regional grid),23.511,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 8,CNF,SIS,SIS — Systemic (regional grid),30.038,57.310
2026-04-29,06:00,2026-04-29,07:30,2.000,Mauriti 9,CNF,SIS,SIS — Systemic (regional grid),5.588,57.310
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 9,CNF,SIS,SIS — Systemic (regional grid),7.848,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 4,CNF,SIS,SIS — Systemic (regional grid),41.657,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 3,CNF,SIS,SIS — Systemic (regional grid),18.841,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 2,CNF,SIS,SIS — Systemic (regional grid),10.256,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 8,CNF,SIS,SIS — Systemic (regional grid),44.433,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 5,CNF,SIS,SIS — Systemic (regional grid),45.890,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 6,CNF,SIS,SIS — Systemic (regional grid),46.416,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 1,CNF,SIS,SIS — Systemic (regional grid),36.045,101.360
2026-04-08,06:00,2026-04-08,07:30,2.000,Mauriti 7,CNF,SIS,SIS — Systemic (regional grid),3.616,101.360
2026-03-31,11:00,2026-03-31,12:30,2.000,Mauriti 4,CNF,LOC,LOC — Local (near plant),11.359,57.310
2026-03-31,10:00,2026-03-31,13:00,3.500,Mauriti 7,CNF,LOC,LOC — Local (near plant),6.774,57.584
2026-03-31,09:30,2026-03-31,12:30,3.500,Mauriti 5,CNF,LOC,LOC — Local (near plant),14.758,57.310
2026-03-31,09:30,2026-03-31,13:00,4.000,Mauriti 9,CNF,LOC,LOC — Local (near plant),7.559,57.630
2026-03-31,09:30,2026-03-31,13:00,4.000,Mauriti 2,CNF,LOC,LOC — Local (near plant),9.407,57.584
2026-03-31,09:30,2026-03-31,12:30,3.500,Mauriti 3,CNF,LOC,LOC — Local (near plant),17.890,57.310
2026-03-31,09:30,2026-03-31,12:00,3.000,Mauriti 8,CNF,LOC,LOC — Local (near plant),21.697,57.310
2026-03-31,09:30,2026-03-31,09:30,0.500,Mauriti 4,CNF,LOC,LOC — Local (near plant),2.535,57.310
2026-03-31,09:30,2026-03-31,12:30,3.500,Mauriti 6,CNF,LOC,LOC — Local (near plant),19.871,57.310
2026-03-31,09:30,2026-03-31,11:30,2.500,Mauriti 1,CNF,LOC,LOC — Local (near plant),14.253,57.310
2026-03-30,13:00,2026-03-30,14:30,2.000,Mauriti 2,CNF,LOC,LOC — Local (near plant),14.445,57.310
2026-03-30,13:00,2026-03-30,14:30,2.000,Mauriti 9,CNF,LOC,LOC — Local (near plant),4.742,57.310
2026-03-30,12:30,2026-03-30,14:30,2.500,Mauriti 8,CNF,LOC,LOC — Local (near plant),25.479,57.310
2026-03-30,12:30,2026-03-30,14:30,2.500,Mauriti 7,CNF,LOC,LOC — Local (near plant),9.751,57.310
2026-03-30,10:00,2026-03-30,14:30,5.000,Mauriti 3,CNF,LOC,LOC — Local (near plant),39.349,57.310
2026-03-30,10:00,2026-03-30,11:30,2.000,Mauriti 2,CNF,LOC,LOC — Local (near plant),7.267,57.310
2026-03-30,10:00,2026-03-30,14:00,4.500,Mauriti 6,CNF,LOC,LOC — Local (near plant),42.561,57.310
2026-03-30,10:00,2026-03-30,10:00,0.500,Mauriti 7,CNF,LOC,LOC — Local (near plant),0.646,57.310
2026-03-30,10:00,2026-03-30,14:00,4.500,Mauriti 5,CNF,LOC,LOC — Local (near plant),31.475,57.310
2026-03-30,10:00,2026-03-30,14:30,5.000,Mauriti 1,CNF,LOC,LOC — Local (near plant),42.882,57.310
2026-03-30,10:00,2026-03-30,14:30,5.000,Mauriti 4,CNF,LOC,LOC — Local (near plant),51.287,57.310
2026-03-30,10:00,2026-03-30,10:30,1.000,Mauriti 8,CNF,LOC,LOC — Local (near plant),2.847,57.310
2026-03-30,10:00,2026-03-30,10:00,0.500,Mauriti 9,CNF,LOC,LOC — Local (near plant),0.740,57.310
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 7,CNF,LOC,LOC — Local (near plant),3.634,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 1,CNF,LOC,LOC — Local (near plant),32.917,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 4,CNF,LOC,LOC — Local (near plant),12.717,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 9,CNF,LOC,LOC — Local (near plant),8.076,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 3,CNF,LOC,LOC — Local (near plant),9.973,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 6,CNF,LOC,LOC — Local (near plant),9.933,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 2,CNF,LOC,LOC — Local (near plant),3.881,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 5,CNF,LOC,LOC — Local (near plant),3.898,89.943
2026-03-28,15:30,2026-03-28,16:30,1.500,Mauriti 8,CNF,LOC,LOC — Local (near plant),9.638,89.943
2026-03-27,12:30,2026-03-27,16:00,4.000,Mauriti 7,CNF,LOC,LOC — Local (near plant),9.743,83.846
2026-03-27,11:00,2026-03-27,16:00,5.500,Mauriti 8,CNF,LOC,LOC — Local (near plant),19.021,78.539
2026-03-27,11:00,2026-03-27,16:00,5.500,Mauriti 1,CNF,LOC,LOC — Local (near plant),145.568,76.609
2026-03-27,11:00,2026-03-27,16:00,5.500,Mauriti 5,CNF,LOC,LOC — Local (near plant),16.041,76.609
2026-03-27,11:00,2026-03-27,16:00,5.500,Mauriti 9,CNF,LOC,LOC — Local (near plant),34.285,76.609
2026-03-27,11:00,2026-03-27,16:00,5.500,Mauriti 4,CNF,LOC,LOC — Local (near plant),22.522,76.609
2026-03-27,11:00,2026-03-27,16:00,5.500,Mauriti 3,CNF,LOC,LOC — Local (near plant),22.084,76.609
2026-03-27,11:00,2026-03-27,16:00,5.500,Mauriti 2,CNF,LOC,LOC — Local (near plant),9.105,78.539
2026-03-27,11:00,2026-03-27,15:30,5.000,Mauriti 6,CNF,LOC,LOC — Local (near plant),23.290,60.918
2026-03-27,11:00,2026-03-27,11:00,0.500,Mauriti 7,CNF,LOC,LOC — Local (near plant),0.253,57.310
2026-03-26,15:30,2026-03-26,16:30,1.500,Mauriti 9,CNF,LOC,LOC — Local (near plant),0.418,188.483
2026-03-26,15:30,2026-03-26,15:30,0.500,Mauriti 8,CNF,LOC,LOC — Local (near plant),1.069,60.730
2026-03-26,14:00,2026-03-26,14:00,0.500,Mauriti 9,CNF,LOC,LOC — Local (near plant),0.015,57.310
2026-03-26,12:30,2026-03-26,16:00,4.000,Mauriti 3,CNF,LOC,LOC — Local (near plant),15.766,82.546
2026-03-26,12:30,2026-03-26,16:00,4.000,Mauriti 1,CNF,LOC,LOC — Local (near plant),21.822,82.546
2026-03-26,12:30,2026-03-26,13:30,1.500,Mauriti 5,CNF,LOC,LOC — Local (near plant),4.434,57.310
2026-03-26,12:30,2026-03-26,15:30,3.500,Mauriti 2,CNF,LOC,LOC — Local (near plant),10.696,58.287
2026-03-26,12:30,2026-03-26,14:00,2.000,Mauriti 6,CNF,LOC,LOC — Local (near plant),4.587,57.310
2026-03-26,12:30,2026-03-26,15:30,3.500,Mauriti 4,CNF,LOC,LOC — Local (near plant),19.062,58.287
2026-03-26,12:30,2026-03-26,12:30,0.500,Mauriti 9,CNF,LOC,LOC — Local (near plant),0.418,57.310
2026-03-26,12:30,2026-03-26,14:00,2.000,Mauriti 8,CNF,LOC,LOC — Local (near plant),7.148,57.310
2026-03-26,12:30,2026-03-26,16:30,4.500,Mauriti 7,CNF,LOC,LOC — Local (near plant),5.258,106.500
2026-03-26,08:30,2026-03-26,08:30,0.500,Mauriti 9,CNF,LOC,LOC — Local (near plant),0.195,57.310
2026-03-26,08:30,2026-03-26,08:30,0.500,Mauriti 5,CNF,LOC,LOC — Local (near plant),1.557,57.310
2026-03-26,08:30,2026-03-26,08:30,0.500,Mauriti 7,CNF,LOC,LOC — Local (near plant),0.819,57.310
2026-03-26,08:30,2026-03-26,08:30,0.500,Mauriti 1,CNF,LOC,LOC — Local (near plant),1.840,57.310
2026-03-26,08:30,2026-03-26,08:30,0.500,Mauriti 6,CNF,LOC,LOC — Local (near plant),1.758,57.310
2026-03-26,08:30,2026-03-26,08:30,0.500,Mauriti 3,CNF,LOC,LOC — Local (near plant),0.763,57.310
2026-03-26,06:00,2026-03-26,06:30,1.000,Mauriti 8,CNF,SIS,SIS — Systemic (regional grid),0.680,60.290
2026-03-26,06:00,2026-03-26,06:30,1.000,Mauriti 4,CNF,SIS,SIS — Systemic (regional grid),0.725,60.290
2026-03-26,06:00,2026-03-26,06:30,1.000,Mauriti 3,CNF,SIS,SIS — Systemic (regional grid),0.957,60.290
2026-03-26,06:00,2026-03-26,06:30,1.000,Mauriti 9,CNF,SIS,SIS — Systemic (regional grid),0.209,60.290
