MES_REFERENCIA;SUBMERCADO;PERIODO_COMERCIALIZACAO;DIA;HORA;PLD_HORA
202512;NORDESTE;721;31;0;205.25
202512;NORTE;721;31;0;205.26
202512;SUDESTE;721;31;0;205.26
202512;SUL;721;31;0;205.25
202512;NORDESTE;722;31;1;197.52
202512;NORTE;722;31;1;197.52
202512;SUDESTE;722;31;1;197.52
202512;SUL;722;31;1;197.51
202512;NORDESTE;723;31;2;192.37
202512;NORTE;723;31;2;192.36
202512;SUDESTE;723;31;2;192.36
202512;SUL;723;31;2;192.35
202512;NORDESTE;724;31;3;191.49
202512;NORTE;724;31;3;191.5
202512;SUDESTE;724;31;3;191.5
202512;SUL;724;31;3;191.49
202512;NORDESTE;725;31;4;191.54
202512;NORTE;725;31;4;191.54
202512;SUDESTE;725;31;4;191.54
202512;SUL;725;31;4;191.53
202512;NORDESTE;726;31;5;191.02
202512;NORTE;726;31;5;191.02
202512;SUDESTE;726;31;5;191.02
202512;SUL;726;31;5;191.01
202512;NORDESTE;727;31;6;186.24
202512;NORTE;727;31;6;186.25
202512;SUDESTE;727;31;6;186.25
202512;SUL;727;31;6;186.24
202512;NORDESTE;728;31;7;181.33
202512;NORTE;728;31;7;181.34
202512;SUDESTE;728;31;7;181.34
202512;SUL;728;31;7;181.34
202512;NORDESTE;729;31;8;176.78
202512;NORTE;729;31;8;176.79
202512;SUDESTE;729;31;8;176.79
202512;SUL;729;31;8;176.79
202512;NORDESTE;730;31;9;144.67
202512;NORTE;730;31;9;144.68
202512;SUDESTE;730;31;9;144.68
202512;SUL;730;31;9;144.69
202512;NORDESTE;731;31;10;58.6
202512;NORTE;731;31;10;58.6
202512;SUDESTE;731;31;10;58.6
202512;SUL;731;31;10;58.6
202512;NORDESTE;732;31;11;58.6
202512;NORTE;732;31;11;58.6
202512;SUDESTE;732;31;11;58.6
202512;SUL;732;31;11;58.6
202512;NORDESTE;733;31;12;78.13
202512;NORTE;733;31;12;78.14
202512;SUDESTE;733;31;12;78.13
202512;SUL;733;31;12;78.14
202512;NORDESTE;734;31;13;174.85
202512;NORTE;734;31;13;174.86
202512;SUDESTE;734;31;13;174.86
202512;SUL;734;31;13;174.87
202512;NORDESTE;735;31;14;180.6
202512;NORTE;735;31;14;180.61
202512;SUDESTE;735;31;14;180.61
202512;SUL;735;31;14;180.62
202512;NORDESTE;736;31;15;184.64
202512;NORTE;736;31;15;184.65
202512;SUDESTE;736;31;15;184.65
202512;SUL;736;31;15;184.65
202512;NORDESTE;737;31;16;188.77
202512;NORTE;737;31;16;188.77
202512;SUDESTE;737;31;16;188.77
202512;SUL;737;31;16;188.77
202512;NORDESTE;738;31;17;192.89
202512;NORTE;738;31;17;192.89
202512;SUDESTE;738;31;17;192.89
202512;SUL;738;31;17;192.89
202512;NORDESTE;739;31;18;200.14
202512;NORTE;739;31;18;200.15
202512;SUDESTE;739;31;18;200.15
202512;SUL;739;31;18;200.14
202512;NORDESTE;740;31;19;207.3
202512;NORTE;740;31;19;207.31
202512;SUDESTE;740;31;19;207.31
202512;SUL;740;31;19;207.3
202512;NORDESTE;741;31;20;202.01
202512;NORTE;741;31;20;202.01
202512;SUDESTE;741;31;20;202.02
202512;SUL;741;31;20;202.01
202512;NORDESTE;742;31;21;195.04
202512;NORTE;742;31;21;195.04
202512;SUDESTE;742;31;21;195.04
202512;SUL;742;31;21;195.03
202512;NORDESTE;743;31;22;192.35
202512;NORTE;743;31;22;192.36
202512;SUDESTE;743;31;22;192.36
202512;SUL;743;31;22;192.35
202512;NORDESTE;744;31;23;192.04
202512;NORTE;744;31;23;192.04
202512;SUDESTE;744;31;23;192.04
202512;SUL;744;31;23;192.03
202512;NORDESTE;697;30;0;251.68
202512;NORTE;697;30;0;251.68
202512;SUDESTE;697;30;0;251.68
202512;SUL;697;30;0;251.67
202512;NORDESTE;698;30;1;219.5
202512;NORTE;698;30;1;219.5
202512;SUDESTE;698;30;1;219.5
202512;SUL;698;30;1;219.49
202512;NORDESTE;699;30;2;212.93
202512;NORTE;699;30;2;212.93
202512;SUDESTE;699;30;2;212.93
202512;SUL;699;30;2;212.92
202512;NORDESTE;700;30;3;210.64
202512;NORTE;700;30;3;210.64
202512;SUDESTE;700;30;3;210.64
202512;SUL;700;30;3;210.63
202512;NORDESTE;701;30;4;211.7
202512;NORTE;701;30;4;211.69
202512;SUDESTE;701;30;4;211.69
202512;SUL;701;30;4;211.68
202512;NORDESTE;702;30;5;211.15
202512;NORTE;702;30;5;211.15
202512;SUDESTE;702;30;5;211.14
202512;SUL;702;30;5;211.13
202512;NORDESTE;703;30;6;197.91
202512;NORTE;703;30;6;197.91
202512;SUDESTE;703;30;6;197.91
202512;SUL;703;30;6;197.9
202512;NORDESTE;704;30;7;190.31
202512;NORTE;704;30;7;190.32
202512;SUDESTE;704;30;7;190.31
202512;SUL;704;30;7;190.3
202512;NORDESTE;705;30;8;186.59
202512;NORTE;705;30;8;186.6
202512;SUDESTE;705;30;8;186.6
202512;SUL;705;30;8;186.6
202512;NORDESTE;706;30;9;185.69
202512;NORTE;706;30;9;185.7
202512;SUDESTE;706;30;9;185.69
202512;SUL;706;30;9;185.7
202512;NORDESTE;707;30;10;184.87
202512;NORTE;707;30;10;184.88
202512;SUDESTE;707;30;10;184.87
202512;SUL;707;30;10;184.88
202512;NORDESTE;708;30;11;184.77
202512;NORTE;708;30;11;184.77
202512;SUDESTE;708;30;11;184.77
202512;SUL;708;30;11;184.77
202512;NORDESTE;709;30;12;183.17
202512;NORTE;709;30;12;183.18
202512;SUDESTE;709;30;12;183.18
202512;SUL;709;30;12;183.18
202512;NORDESTE;710;30;13;185.76
202512;NORTE;710;30;13;185.77
202512;SUDESTE;710;30;13;185.76
202512;SUL;710;30;13;185.76
202512;NORDESTE;711;30;14;189.76
202512;NORTE;711;30;14;189.77
202512;SUDESTE;711;30;14;189.77
202512;SUL;711;30;14;189.77
202512;NORDESTE;712;30;15;194.96
202512;NORTE;712;30;15;194.96
202512;SUDESTE;712;30;15;194.96
202512;SUL;712;30;15;194.95
202512;NORDESTE;713;30;16;202.41
202512;NORTE;713;30;16;202.41
202512;SUDESTE;713;30;16;202.41
202512;SUL;713;30;16;202.4
202512;NORDESTE;714;30;17;214.82
202512;NORTE;714;30;17;214.82
202512;SUDESTE;714;30;17;214.82
202512;SUL;714;30;17;214.81
202512;NORDESTE;715;30;18;221.63
202512;NORTE;715;30;18;221.63
202512;SUDESTE;715;30;18;221.63
202512;SUL;715;30;18;221.62
202512;NORDESTE;716;30;19;232.09
202512;NORTE;716;30;19;232.1
202512;SUDESTE;716;30;19;232.1
202512;SUL;716;30;19;232.09
202512;NORDESTE;717;30;20;230.8
202512;NORTE;717;30;20;230.8
202512;SUDESTE;717;30;20;230.81
202512;SUL;717;30;20;230.81
202512;NORDESTE;718;30;21;222.39
202512;NORTE;718;30;21;222.39
202512;SUDESTE;718;30;21;222.4
202512;SUL;718;30;21;222.39
202512;NORDESTE;719;30;22;220.6
202512;NORTE;719;30;22;220.6
202512;SUDESTE;719;30;22;220.6
202512;SUL;719;30;22;220.6
202512;NORDESTE;720;30;23;217.78
202512;NORTE;720;30;23;217.78
202512;SUDESTE;720;30;23;217.78
202512;SUL;720;30;23;217.77
202512;NORDESTE;673;29;0;574.88
202512;NORTE;673;29;0;574.89
202512;SUDESTE;673;29;0;574.89
202512;SUL;673;29;0;574.88
202512;NORDESTE;674;29;1;511.88
202512;NORTE;674;29;1;511.89
202512;SUDESTE;674;29;1;511.88
202512;SUL;674;29;1;511.87
202512;NORDESTE;675;29;2;482.14
202512;NORTE;675;29;2;482.15
202512;SUDESTE;675;29;2;482.15
202512;SUL;675;29;2;482.14
202512;NORDESTE;676;29;3;327.11
202512;NORTE;676;29;3;327.12
202512;SUDESTE;676;29;3;327.12
202512;SUL;676;29;3;327.11
202512;NORDESTE;677;29;4;326.34
202512;NORTE;677;29;4;326.35
202512;SUDESTE;677;29;4;326.35
202512;SUL;677;29;4;326.34
202512;NORDESTE;678;29;5;319.94
202512;NORTE;678;29;5;319.94
202512;SUDESTE;678;29;5;319.93
202512;SUL;678;29;5;319.92
202512;NORDESTE;679;29;6;221.53
202512;NORTE;679;29;6;221.54
202512;SUDESTE;679;29;6;221.53
202512;SUL;679;29;6;221.52
202512;NORDESTE;680;29;7;200.37
202512;NORTE;680;29;7;200.38
202512;SUDESTE;680;29;7;200.37
202512;SUL;680;29;7;200.37
202512;NORDESTE;681;29;8;196.2
202512;NORTE;681;29;8;196.21
202512;SUDESTE;681;29;8;196.2
202512;SUL;681;29;8;196.2
202512;NORDESTE;682;29;9;190.55
202512;NORTE;682;29;9;190.56
202512;SUDESTE;682;29;9;190.55
202512;SUL;682;29;9;190.55
202512;NORDESTE;683;29;10;190.48
202512;NORTE;683;29;10;190.49
202512;SUDESTE;683;29;10;190.49
202512;SUL;683;29;10;190.49
202512;NORDESTE;684;29;11;190.75
202512;NORTE;684;29;11;190.76
202512;SUDESTE;684;29;11;190.76
202512;SUL;684;29;11;190.76
202512;NORDESTE;685;29;12;190.86
202512;NORTE;685;29;12;190.87
202512;SUDESTE;685;29;12;190.87
202512;SUL;685;29;12;190.87
202512;NORDESTE;686;29;13;195.82
202512;NORTE;686;29;13;195.83
202512;SUDESTE;686;29;13;195.82
202512;SUL;686;29;13;195.82
202512;NORDESTE;687;29;14;203.83
202512;NORTE;687;29;14;203.84
202512;SUDESTE;687;29;14;203.83
202512;SUL;687;29;14;203.83
202512;NORDESTE;688;29;15;214.71
202512;NORTE;688;29;15;214.72
202512;SUDESTE;688;29;15;214.72
202512;SUL;688;29;15;214.72
202512;NORDESTE;689;29;16;444.95
202512;NORTE;689;29;16;444.96
202512;SUDESTE;689;29;16;444.96
202512;SUL;689;29;16;444.96
